,Title,Type,Assignee,reporter,Description,created,updated,status,Priority,Resolved,link,comments
0,ConvertBodyTo should reset message type like transform EIP does,Improvement,Claus Ibsen,Claus Ibsen,"

We should make convertBodyTo alike transform/setBody, as when you change the message body, then if any specialized message instances, then we should copy the message to a default message, and set the type converted body. This is how those other EIPs does it.
If you do a 

from file
  convertBodyTo String
  to file


Then the file producer may detect the GenericFileMessage, from the consumer. But the convert body to, should have converted the message into a default message.

",25/Apr/12 11:21,25/Apr/12 12:04,Resolved,Minor,25/Apr/12 12:04,https://issues.apache.org/jira/browse/CAMEL-5216,
1,camel-mail - Fallback to getInstance if getDefaultInstance fails on Session as it may do in some systems,Improvement,Claus Ibsen,Claus Ibsen,"

MailConfiguration calls Session.getDefaultInstance which may not be allowed on some system. In those situations you should invoke the getInstance instead.

",04/Jun/10 04:56,24/Apr/11 10:01,Closed,Major,open,https://issues.apache.org/jira/browse/CAMEL-2789,      Claus Ibsen added a comment  - 04/Jun/10 05:00   You will get this kind of exceptionjava.lang.SecurityException: Access to default session deniedWhich has also been debated a bit herehttp://fusesource.com/forums/message.jspa?messageID=5266          Claus Ibsen added a comment  - 04/Jun/10 05:00                    You will get this kind of exception    java.lang.SecurityException: Access to  default  session denied    Which has also been debated a bit here  http://fusesource.com/forums/message.jspa?messageID=5266                 $_$      Claus Ibsen added a comment  - 04/Jun/10 05:01   trunk: 951265.          Claus Ibsen added a comment  - 04/Jun/10 05:01                    trunk: 951265.                $_$      Claus Ibsen added a comment  - 24/Apr/11 10:01   Closing all resolved tickets from 2010 or older          Claus Ibsen added a comment  - 24/Apr/11 10:01                    Closing all resolved tickets from 2010 or older                
2,axiom 1.2.12 can't work with abdera 1.1.2,Bug,Freeman Yue Fang,Freeman Yue Fang,"

CAMEL-4192 upgrade to axiom 1.2.12, and we have camel-atom feature which use latest axiom 1.2.12 and abdera 1.1.2 together, however, actually abdera 1.1.2  need work with axiom 1.2.10.
In org.apache.abdera.parser.stax.util.FOMExtensionIterator(abdera code), it need use a field currentChild which inherit from org.apache.axiom.om.impl.traverse.OMAbstractIterator(axiom code),  but field currentChild was removed from axiom 1.2.12, so that we can see exception like
java.lang.NoSuchFieldError: currentChild
	at org.apache.abdera.parser.stax.util.FOMExtensionIterator.hasNext(FOMExtensionIterator.java:74)
	at org.apache.abdera.parser.stax.util.FOMList.buffer(FOMList.java:60)
	at org.apache.abdera.parser.stax.util.FOMList.size(FOMList.java:77)
As abdera 1.1.2 already the latest version so that I think we need rollback to axiom 1.2.10 utill next abdera version which can work with axiom 1.2.12
Btw I believe this is the reason that why CXF still use axiom 1.2.10.

",21/Mar/12 05:19,10/Jan/13 08:48,Resolved,Major,14/Dec/12 08:17,https://issues.apache.org/jira/browse/CAMEL-5109,"      Freeman Yue Fang added a comment  - 21/Mar/12 08:20   commit fixhttp://svn.apache.org/viewvc?rev=1303301&view=rev for trunkhttp://svn.apache.org/viewvc?rev=1303304&view=rev for 2.9.x branchhttp://svn.apache.org/viewvc?rev=1303306&view=rev for 2.8.x branch          Freeman Yue Fang added a comment  - 21/Mar/12 08:20                    commit fix  http://svn.apache.org/viewvc?rev=1303301&view=rev  for trunk  http://svn.apache.org/viewvc?rev=1303304&view=rev  for 2.9.x branch  http://svn.apache.org/viewvc?rev=1303306&view=rev  for 2.8.x branch                $_$      Benjamin Truitt added a comment  - 12/Dec/12 20:39   This appears to be broken again in Camel 2.10.2.  The change the re-introduced this issue was revision 1356481:http://svn.apache.org/viewvc/camel/trunk/parent/pom.xml?r1=1356480&r2=1356481&diff_format=h          Benjamin Truitt added a comment  - 12/Dec/12 20:39                    This appears to be broken again in Camel 2.10.2.  The change the re-introduced this issue was revision 1356481:  http://svn.apache.org/viewvc/camel/trunk/parent/pom.xml?r1=1356480&r2=1356481&diff_format=h                 $_$      Freeman Yue Fang added a comment  - 13/Dec/12 02:34   Hi,Thanks for pointing out this issue.Sent an alarm mail around to community.Freeman          Freeman Yue Fang added a comment  - 13/Dec/12 02:34                    Hi,  Thanks for pointing out this issue. Sent an alarm mail around to community.  Freeman                $_$      Freeman Yue Fang added a comment  - 13/Dec/12 11:10   reopen it as this issue get introduced again          Freeman Yue Fang added a comment  - 13/Dec/12 11:10                    reopen it as this issue get introduced again                "
3,camel-ganglia: add unit tests for packets sent to the wire,Improvement,Alex Dettinger,Daniel Pocock,"

Look for a way to capture the packets sent to the wire and develop unit tests to evaluate them.
In CAMEL-8342, Claus commented: ""camel-netty4 / camel-mina2 etc has some socket / udp tests"" - that might provide a useful example of how to implement this.

",16/Mar/15 10:04,07/Jun/18 20:27,Resolved,Minor,07/Jun/18 20:27,https://issues.apache.org/jira/browse/CAMEL-8494,      Alex Dettinger added a comment  - 07/Jun/18 20:27   Packets have been loosely asserted while augmenting the test coverage for camel-ganglia.          Alex Dettinger added a comment  - 07/Jun/18 20:27                    Packets have been loosely asserted while augmenting the test coverage for camel-ganglia.                
4,camel-jbang - Cannot build on JDK8,Task,Claus Ibsen,Claus Ibsen,"

INFO] ------------------------------------------------------------------------
[INFO] BUILD FAILURE
[INFO] ------------------------------------------------------------------------
[INFO] Total time:  02:44 h
[INFO] Finished at: 2021-08-03T19:33:33Z
[INFO] ------------------------------------------------------------------------
[ERROR] Failed to execute goal org.apache.maven.plugins:maven-javadoc-plugin:3.2.0:jar (attach-javadocs) on project camel-jbang-main: MavenReportException: Error while generating Javadoc: 
[ERROR] Exit code: 1 - javadoc: error - No public or protected classes found to document.
[ERROR] 
[ERROR] Command line was: /usr/local/asfpackages/java/adoptopenjdk-hotspot-8u282-b08/jre/../bin/javadoc @options @packages
[ERROR] 
[ERROR] Refer to the generated Javadoc files in '/home/jenkins/jenkins-agent/workspace/Camel_Apache_Camel_main/dsl/camel-jbang/camel-jbang-main/target/apidocs' dir.
[ERROR] -> [Help 1]
org.apache.maven.lifecycle.LifecycleExecutionException: Failed to execute goal org.apache.maven.plugins:maven-javadoc-plugin:3.2.0:jar (attach-javadocs) on project camel-jbang-main: MavenReportException: Error while generating Javadoc: 
Exit code: 1 - javadoc: error - No public or protected classes found to document.
Command line was: /usr/local/asfpackages/java/adoptopenjdk-hotspot-8u282-b08/jre/../bin/javadoc @options @packages
Refer to the generated Javadoc files in '/home/jenkins/jenkins-agent/workspace/Camel_Apache_Camel_main/dsl/camel-jbang/camel-jbang-main/target/apidocs' dir.
https://ci-builds.apache.org/job/Camel/job/Apache%20Camel/job/main/249/console

",03/Aug/21 19:45,04/Aug/21 17:06,Resolved,Major,04/Aug/21 15:40,https://issues.apache.org/jira/browse/CAMEL-16842,"      Otavio Rodolfo Piske added a comment  - 04/Aug/21 17:06   Thanks, I missed this one!          Otavio Rodolfo Piske added a comment  - 04/Aug/21 17:06                    Thanks, I missed this one!                "
5,NATS consumer throws NullPointerException on connection failure,Bug,James Netherton,James Netherton,"

Something I observed in camel-quarkus, when the NATS integration test occasionally fails with connection errors, there's also NullPointerException thrown from the consumer doStop().


[INFO] Caused by: java.lang.NullPointerException
[INFO] 	at org.apache.camel.component.nats.NatsConsumer.doStop(NatsConsumer.java:71)
[INFO] 	at org.apache.camel.support.service.BaseService.stop(BaseService.java:156)
[INFO] 	at org.apache.camel.support.service.ServiceHelper.stopService(ServiceHelper.java:133)
[INFO] 	at org.apache.camel.support.service.ServiceHelper.stopAndShutdownService(ServiceHelper.java:198)
[INFO] 	at org.apache.camel.impl.engine.RouteService.stopChildService(RouteService.java:352)
[INFO] 	at org.apache.camel.impl.engine.RouteService.doStop(RouteService.java:240)
[INFO] 	at org.apache.camel.support.ChildServiceSupport.stop(ChildServiceSupport.java:86)



",09/Nov/20 09:52,09/Nov/20 10:33,Resolved,Major,09/Nov/20 10:33,https://issues.apache.org/jira/browse/CAMEL-15834,
6,AWS2 S3 Component unclosed stream issue with includeFolders property,Bug,Andrea Cosentino,Filipe Portes,"

When using Camel aws2-s3 component and the `includeFolders` option as false, some `ResponseInputStream` objects are left unclosed and are causing the aws sdk connection pool to get full.  
example of Route: 


from(""aws2-s3://{{aws.s3.sftpBucket}}?amazonS3Client=#amazonS3&delay=1000""
    + ""&includeFolders=false"")
    .to(""file:/tmp/?fileName=${header.CamelAwsS3Key}"")

this results in the exception appearing in the logs after some seconds: 


Caused by: [software.amazon.awssdk.core.exception.SdkClientException - Unable to execute HTTP request: Timeout waiting for connection from pool]software.amazon.awssdk.core.exception.SdkClientException: Unable to execute HTTP request: Timeout waiting for connection from pool
	at software.amazon.awssdk.core.exception.SdkClientException$BuilderImpl.build(SdkClientException.java:98)
	at software.amazon.awssdk.core.exception.SdkClientException.create(SdkClientException.java:43)
	at software.amazon.awssdk.core.internal.http.pipeline.stages.utils.RetryableStageHelper.setLastException(RetryableStageHelper.java:199)
	at software.amazon.awssdk.core.internal.http.pipeline.stages.RetryableStage.execute(RetryableStage.java:66)
	at software.amazon.awssdk.core.internal.http.pipeline.stages.RetryableStage.execute(RetryableStage.java:34)
	at software.amazon.awssdk.core.internal.http.pipeline.RequestPipelineBuilder$ComposingRequestPipelineStage.execute(RequestPipelineBuilder.java:206)
	at software.amazon.awssdk.core.internal.http.StreamManagingStage.execute(StreamManagingStage.java:56)
	at software.amazon.awssdk.core.internal.http.StreamManagingStage.execute(StreamManagingStage.java:36)
	at software.amazon.awssdk.core.internal.http.pipeline.stages.ApiCallTimeoutTrackingStage.executeWithTimer(ApiCallTimeoutTrackingStage.java:80)
	at software.amazon.awssdk.core.internal.http.pipeline.stages.ApiCallTimeoutTrackingStage.execute(ApiCallTimeoutTrackingStage.java:60)
	at software.amazon.awssdk.core.internal.http.pipeline.stages.ApiCallTimeoutTrackingStage.execute(ApiCallTimeoutTrackingStage.java:42)
	at software.amazon.awssdk.core.internal.http.pipeline.RequestPipelineBuilder$ComposingRequestPipelineStage.execute(RequestPipelineBuilder.java:206)
	at software.amazon.awssdk.core.internal.http.pipeline.RequestPipelineBuilder$ComposingRequestPipelineStage.execute(RequestPipelineBuilder.java:206)
	at software.amazon.awssdk.core.internal.http.pipeline.stages.ExecutionFailureExceptionReportingStage.execute(ExecutionFailureExceptionReportingStage.java:37)
	at software.amazon.awssdk.core.internal.http.pipeline.stages.ExecutionFailureExceptionReportingStage.execute(ExecutionFailureExceptionReportingStage.java:26)
	at software.amazon.awssdk.core.internal.http.AmazonSyncHttpClient$RequestExecutionBuilderImpl.execute(AmazonSyncHttpClient.java:189)
	at software.amazon.awssdk.core.internal.handler.BaseSyncClientHandler.invoke(BaseSyncClientHandler.java:121)
	at software.amazon.awssdk.core.internal.handler.BaseSyncClientHandler.doExecute(BaseSyncClientHandler.java:147)
	at software.amazon.awssdk.core.internal.handler.BaseSyncClientHandler.execute(BaseSyncClientHandler.java:101)
	at software.amazon.awssdk.core.client.handler.SdkSyncClientHandler.execute(SdkSyncClientHandler.java:45)
	at software.amazon.awssdk.awscore.client.handler.AwsSyncClientHandler.execute(AwsSyncClientHandler.java:55)
	at software.amazon.awssdk.services.s3.DefaultS3Client.listObjects(DefaultS3Client.java:4792)
	at org.apache.camel.component.aws2.s3.AWS2S3Consumer.poll(AWS2S3Consumer.java:138)
	at org.apache.camel.support.ScheduledPollConsumer.doRun(ScheduledPollConsumer.java:190)
	at org.apache.camel.support.ScheduledPollConsumer.run(ScheduledPollConsumer.java:107)
	at java.base/java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:515)
	at java.base/java.util.concurrent.FutureTask.runAndReset(FutureTask.java:305)
	at java.base/java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask.run(ScheduledThreadPoolExecutor.java:305)
	at java.base/java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1128)
	at java.base/java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:628)
	at java.base/java.lang.Thread.run(Thread.java:834)
Caused by: org.apache.http.conn.ConnectionPoolTimeoutException: Timeout waiting for connection from pool
	at org.apache.http.impl.conn.PoolingHttpClientConnectionManager.leaseConnection(PoolingHttpClientConnectionManager.java:316)
	at org.apache.http.impl.conn.PoolingHttpClientConnectionManager$1.get(PoolingHttpClientConnectionManager.java:282)
	at jdk.internal.reflect.GeneratedMethodAccessor305.invoke(Unknown Source)
	at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.base/java.lang.reflect.Method.invoke(Method.java:566)
	at software.amazon.awssdk.http.apache.internal.conn.ClientConnectionRequestFactory$Handler.invoke(ClientConnectionRequestFactory.java:83)
	at com.sun.proxy.$Proxy137.get(Unknown Source)
	at org.apache.http.impl.execchain.MainClientExec.execute(MainClientExec.java:190)
	at org.apache.http.impl.execchain.ProtocolExec.execute(ProtocolExec.java:186)
	at org.apache.http.impl.client.InternalHttpClient.doExecute(InternalHttpClient.java:185)
	at org.apache.http.impl.client.CloseableHttpClient.execute(CloseableHttpClient.java:83)
	at org.apache.http.impl.client.CloseableHttpClient.execute(CloseableHttpClient.java:56)
	at software.amazon.awssdk.http.apache.internal.impl.ApacheSdkHttpClient.execute(ApacheSdkHttpClient.java:72)
	at software.amazon.awssdk.http.apache.ApacheHttpClient.execute(ApacheHttpClient.java:232)
	at software.amazon.awssdk.http.apache.ApacheHttpClient.access$500(ApacheHttpClient.java:98)
	at software.amazon.awssdk.http.apache.ApacheHttpClient$1.call(ApacheHttpClient.java:213)


 
The issue doesn't repeat when the `includeFolders` is kept as true.

",13/Sep/20 18:02,14/Sep/20 05:58,Resolved,Major,14/Sep/20 05:58,https://issues.apache.org/jira/browse/CAMEL-15530,      Filipe Portes added a comment  - 13/Sep/20 18:23   PR:u00A0https://github.com/apache/camel/pull/4209          Filipe Portes added a comment  - 13/Sep/20 18:23                    PR:u00A0 https://github.com/apache/camel/pull/4209                 
7,Create Huawei-smn starter for Camel-spring-boot,Task,Andrea Cosentino,Andrea Cosentino,,01/Feb/21 09:15,01/Feb/21 09:45,Resolved,Major,01/Feb/21 09:45,https://issues.apache.org/jira/browse/CAMEL-16124,
8,camel-salesforce: EndpointConfiguration not taken into account by SubscriptionHelper,Bug,Zoran Regvart,Luca Burgazzoli,"

In SubscriptionHelper all the configuration options hare retrieved using component's configuration but that may be different from endpoint configuration, as example in SubscriptionHelper.createClient :

Map<String, Integer> replayIdMap = component.getConfig().getInitialReplayIdMap();
if (replayIdMap != null) {
        replayId = replayIdMap.get(channelName);
}
if (replayId == null) {
        replayId = component.getConfig().getDefaultReplayId();
}


The main issue is that the component uses the same configuration as the endpoint so one would expect to be able to set any option available in SalesforceEndpointConfig i.e. on the uri but that won't work:

  from(""salesforce:my-stream-1?defaultReplayId=-1"")
    .to(""..."")
  from(""salesforce:my-stream-2?defaultReplayId=-2"")
    .to(""..."")


It would be nice to remove ""global"" options from SalesforceEndpointConfig as they are misleading or always use the configuration from the endpoint. 

",18/Nov/16 11:01,23/Mar/17 12:13,Resolved,Major,23/Mar/17 12:13,https://issues.apache.org/jira/browse/CAMEL-10495,"      Claus Ibsen added a comment  - 22/Nov/16 09:22   Yeah it should be like other components where endpoint options override any component configured values.          Claus Ibsen added a comment  - 22/Nov/16 09:22                    Yeah it should be like other components where endpoint options override any component configured values.                $_$      Claus Ibsen added a comment  - 22/Nov/16 09:22   zregvart I wonder if you would take a look at this also, as you are deep in the salesforce code.          Claus Ibsen added a comment  - 22/Nov/16 09:22                     zregvart  I wonder if you would take a look at this also, as you are deep in the salesforce code.                $_$      Zoran Regvart added a comment  - 23/Mar/17 12:13   This was fixed in CAMEL-10849.          Zoran Regvart added a comment  - 23/Mar/17 12:13                    This was fixed in   CAMEL-10849  .                "
9,Make method asService protected in class CamelBlueprintTestSupport ,Wish,Willem Jiang,Stéphane Deraco,"

In camel-test-blueprint, Camel version 2.11.2 and 2.12.0 added the possibilty to add OSGi services at startup using the protected method addServicesOnStartup of CamelBlueprintTestSupport class.
In the Javadoc and in the wiki it says that we can use the method asService to register a service with a single property.
However, this method has no modifier. It is not protected, so we can not use it in our test classes (unless they belongs to the same package of CamelBlueprintTestSupport.

",24/Nov/13 14:04,16/Sep/14 11:59,Resolved,Minor,27/Nov/13 08:18,https://issues.apache.org/jira/browse/CAMEL-7006,"      Stu00E9phane Deraco added a comment  - 25/Nov/13 12:33   - edited   Hi,I created a pull-request : https://github.com/apache/camel/pull/61Stu00E9phane          Stu00E9phane Deraco added a comment  - 25/Nov/13 12:33   - edited                   Hi,  I created a pull-request :  https://github.com/apache/camel/pull/61   Stu00E9phane                "
